,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
C11,0.2256927370670629,-0.0339141654560019,-0.008727612272171947,-0.025045881308663275,-0.030922358832430923,0.008804975832159728,-0.14064292820587654,-0.03912944555976252,-0.1926320509271105,-0.033133668645671355,1.0,-0.05335786642497256,-0.2474539465051344,-0.1100107510873547,-0.01263514460694647,-0.038731584702672156,0.24878365946011996,0.04134523849260715,0.14869474040841424,-0.04410547014797734,0.6019224964612583
C12,0.23427095640125012,-0.03201406520397138,-0.2051645327892484,-0.02364172282783285,-0.02919100142456538,0.008308568591388316,-0.04067896234062016,-0.036934505751522725,0.016514003769823243,-0.03127291714109678,-0.020507870181783662,1.0,-0.02886241092708582,0.019110124142993096,-0.01192418462717695,0.1497757994152149,-0.16913383715109956,-0.134092726069115,0.015368694579747943,0.12117075560807564,0.3761928985659771
C13,-0.03597416283957216,0.12815085320393937,-0.007469206771393773,-0.021415495541152928,-0.02643879277216538,0.21588192361576775,0.16501742858900897,-0.03345185790350886,0.01495149696376621,-0.028326301765641198,-0.23545697726881284,-0.04561498116358368,1.0,0.19944571897581023,-0.19753040857234982,-0.03311244642483687,-0.01841732232473353,0.16547337412274338,0.013908745821596397,-0.037706128296107665,-0.18576285662422415
C14,-0.2010035930237604,-0.029878579989589794,0.2069324397972082,-0.02206817405669731,-0.20764663672463382,0.262101354856963,-0.037963159608151706,-0.03446975409840889,0.015406625964355517,-0.029188515297658035,-0.14940609008681704,-0.0470024077585656,0.15521046275042594,1.0,-0.011136126281861426,-0.034120111107748076,-0.30741246643803216,-0.2644269601985884,0.28594093544942145,0.43288580649509756,-0.11069018649564624
C15,-0.03259379616670896,0.14099447305147153,-0.00676563592272529,-0.019402871314188202,-0.0239523701008813,0.00681254271219101,-0.03338317348317006,-0.030309708066466788,0.18835990880858652,-0.2101271646776302,-0.016831699274795695,-0.04132626460876636,-0.21040788658973453,0.01567851726440689,1.0,-0.03000100605192421,-0.0166869865193186,0.03201168474034712,0.012605829508188445,-0.034161206266505366,0.01863827173504733
C16,-0.03486589851227567,-0.028101553860727987,-0.00723604986570198,-0.02075438336020241,-0.025623025892443828,0.007288332497959951,-0.16736811893325815,-0.03242142352283515,0.14755331852716083,-0.027453740838260934,-0.018003743744460208,0.14212615566329062,-0.02533513817370578,0.016770485445790483,-0.010471693496513295,1.0,-0.01784837539923446,-0.0607937784418031,0.01348538396734822,-0.03654437057198624,0.019551859016220807
C17,0.14139335991589977,-0.03169552044052736,-0.00816268872252724,0.18774669286864193,0.2913976247343507,0.0082191865110528,-0.04027616562370823,-0.03656850121724108,-0.40400838115607035,-0.03096644349913234,0.25001454972029435,-0.19866641732396437,-0.028575156421831123,-0.26951866935714774,-0.011812998490759747,-0.03619662412661419,1.0,0.4678148379171768,0.015208755386239566,-0.22567591025405412,0.016949144975161586
C18,-0.027033573074882744,-0.23839184937884506,0.18959373264111729,0.3233786638110469,-0.019866396290170354,0.0056460931754408914,-0.1375082057367683,-0.02514004433651612,-0.3065815336063973,-0.021291048951423606,-0.013962389459118483,-0.20739666598234902,0.11049683956052055,-0.2878308022507975,-0.008125889493939971,-0.11992636560160265,0.4153464025348055,1.0,-0.12927539389130926,-0.19254174312159278,-0.2674206885044608
C19,-0.04259141532231823,-0.03432735720708195,0.1821285170072888,-0.025351579278986063,-0.03129944666890075,0.008908119973528895,-0.14082373883353064,-0.03960521445179816,0.017699879924472053,0.11794070390810181,0.1104184214627934,-0.05400656480215973,-0.030947374297679804,0.29210523994635246,-0.012789989331110793,-0.03920277860522612,-0.021801366359964113,-0.09788238079298371,1.0,0.30535154076577875,0.004930274829598661
C20,-0.1916762255918888,-0.034261975336273426,0.21633077669241563,-0.025301371396818827,-0.031240199800610036,0.008896256592296255,-0.04353750977030081,0.17245592482984937,0.017671776509233853,-0.03347019782563486,-0.021947548964355718,0.10889826401307715,-0.03088829997377862,0.4921974813500953,-0.012761098293316469,-0.03912826436304407,-0.20621560786287255,-0.12243442530681466,0.3664460873600205,1.0,-0.07062914039782547
