C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
0.25,0.5,0.25,0.25,0.75,0.5,0.5,0.5,1.0,0.75,0.5,0.4,0.65,0.18,0.84,0.12,0.6,0.4,0.525,0.01,0.4984
0.5,0.75,0.75,0.75,0.5,0.5,0.0,0.5,1.0,0.5,0.25,0.6,0.65,0.3,0.84,0.4,0.6,0.2,0.5,0.3,0.4985
0.75,0.75,0.75,0.5,0.75,0.75,0.25,0.5,1.0,0.5,0.25,0.6,0.65,0.24,0.84,0.4,0.6,0.4,0.025,0.56,0.4985
0.5,0.5,0.0,0.75,0.5,0.5,0.0,0.25,1.0,1.0,0.75,1.0,0.485,0.06,0.63,0.05,0.4,0.1,0.05,0.0,0.8178
0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.5,1.0,0.75,0.5,1.0,0.85,0.06,0.56,0.05,0.4,0.2,0.0,0.0,0.6840999999999999
0.0,0.75,0.5,0.25,0.5,0.5,0.75,1.0,0.75,0.5,0.0,0.8,0.63,0.84,0.7,0.4,0.2,0.4,0.025,2.66,0.4984
0.0,1.0,0.5,0.25,0.75,0.75,1.0,0.5,0.75,1.0,0.0,0.8,0.86,1.68,0.42,0.05,0.4,0.0,0.75,1.12,0.4984
1.0,1.0,0.25,0.5,0.75,0.5,0.75,1.0,0.5,1.0,0.0,0.8,0.77,0.42,0.63,0.12,0.4,0.2,0.0,0.24,0.4984
0.5,1.0,0.25,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.6,0.615,0.42,0.56,0.05,0.2,0.0,0.025,0.0,0.8283
0.75,0.5,0.5,0.5,0.5,0.75,0.0,0.25,0.75,0.5,1.0,0.6,0.9,0.12,0.35,0.4,0.4,0.0,0.7,0.0,0.8292
0.0,0.75,1.0,0.75,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.4,0.825,0.84,0.35,0.05,0.6,0.3,0.125,0.28,0.4984
0.75,0.5,0.0,0.25,0.0,0.0,0.25,0.75,0.75,1.0,1.0,0.8,0.41,0.18,0.28,0.05,0.4,0.3,0.7,0.4,0.6224000000000001
0.75,0.0,1.0,1.0,0.0,0.5,0.25,0.5,0.75,0.75,1.0,0.8,0.735,1.26,0.63,0.0,0.4,0.4,0.15,1.4,0.8245999999999999
0.75,0.75,0.25,0.0,0.75,0.5,0.75,0.75,1.0,0.75,1.0,0.4,0.395,0.06,0.56,0.0,1.0,0.1,0.0,0.0,0.8212
0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.5,1.0,1.0,0.25,0.6,0.625,0.36,0.56,0.05,0.2,0.0,0.025,0.0,0.4985
0.25,0.75,0.75,0.25,0.5,0.0,0.75,0.5,1.0,0.5,0.5,0.2,0.75,0.36,0.42,0.4,0.4,0.1,0.2,0.04,0.4984
0.5,1.0,0.5,0.25,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.8,0.53,0.06,0.77,0.4,1.0,0.4,0.025,0.0,0.6212
0.75,0.75,1.0,0.0,0.75,0.5,1.0,0.5,0.75,0.25,1.0,0.6,0.735,0.06,0.7,0.0,1.0,0.2,0.25,0.0,0.8292
0.5,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.25,0.75,0.4,0.8099999999999999,0.42,0.63,0.12,1.0,0.4,0.075,0.02,0.5482
0.5,0.5,0.25,0.5,0.25,0.75,0.25,1.0,0.75,0.5,0.5,0.6,0.64,1.26,0.56,0.05,0.8,0.2,0.05,2.1,0.4984
0.75,0.25,0.5,0.75,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.8,0.45,0.0,0.49,0.4,0.6,0.0,0.05,0.0,0.6828
0.25,1.0,0.0,0.25,1.0,0.5,1.0,0.25,0.75,0.5,0.5,0.6,0.74,0.06,0.42,0.0,0.4,0.2,0.075,0.0,0.4984
0.25,0.25,0.75,0.0,0.75,0.5,0.0,1.0,1.0,0.75,0.5,0.8,0.385,0.06,0.56,0.4,0.2,0.1,0.225,0.0,0.5075999999999999
0.25,1.0,0.25,0.5,1.0,0.5,0.0,1.0,0.5,0.25,0.75,0.6,0.495,0.0,0.63,0.0,0.8,0.3,0.025,0.0,0.5482
0.0,0.5,1.0,0.5,0.5,0.75,0.25,0.75,0.75,0.75,0.5,0.6,0.53,0.84,0.49,0.0,0.4,0.3,1.75,2.52,0.4984
0.75,0.75,0.0,0.25,0.5,0.5,0.75,1.0,0.75,0.75,1.0,1.0,0.82,0.12,0.56,0.4,0.4,0.0,0.35,0.42,0.5075999999999999
0.0,0.75,0.5,0.0,0.75,0.25,0.75,0.75,1.0,0.75,0.75,0.2,0.35,0.06,0.77,0.12,0.8,0.1,0.0,0.7,0.4982
0.75,0.0,0.25,1.0,0.75,0.0,0.5,0.5,0.75,1.0,0.0,0.2,0.5599999999999999,0.0,0.35,0.05,1.0,0.2,0.025,0.02,0.4984
0.5,1.0,0.25,0.0,0.0,1.0,0.5,1.0,0.75,1.0,0.5,0.4,0.5650000000000001,0.06,0.35,0.4,1.0,0.3,0.7,0.02,0.4984
0.0,0.75,0.25,0.75,1.0,0.75,0.0,0.25,0.5,0.5,1.0,0.4,0.475,0.06,0.56,0.05,0.8,0.2,0.025,0.0,0.8286
0.5,0.75,0.5,0.75,0.0,0.75,0.0,0.25,0.75,0.0,0.5,0.4,0.5599999999999999,1.68,0.84,0.05,0.2,0.0,0.525,0.02,0.4984
0.75,0.75,0.0,0.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,0.8,0.47000000000000003,0.18,0.77,0.0,1.0,0.2,0.35,0.0,0.5126
0.75,1.0,0.25,0.0,1.0,1.0,0.5,0.75,0.75,0.25,0.75,1.0,0.845,0.06,0.49,0.4,0.6,0.3,0.2,0.28,0.8216
